League,Date,Time,Home,Away,Odds_1,Odds_X,Odds_2
2. Bundesliga (Germany),2026-04-11,20:00,Hertha Berlin,Kaiserslautern,1.73,4.05,4.12
2. Bundesliga (Germany),2026-04-11,20:00,Nurnberg,SG Dynamo Dresden,2.09,3.68,3.15
2. Bundesliga (Germany),2026-04-11,20:00,Preussen Munster,Greuther Furth,2.19,3.3,3.26
Premier League (England),2026-04-11,20:30,Arsenal,Bournemouth,1.49,4.75,6.86
Championship (England),2026-04-11,20:30,Coventry,Sheffield Wed,1.11,9.2,17.0
Championship (England),2026-04-11,20:30,Norwich,Ipswich,2.82,3.48,2.35
Championship (England),2026-04-11,20:30,QPR,Bristol City,2.15,3.32,3.33
La Liga (Spain),2026-04-11,21:00,Real Sociedad,Alaves,1.79,3.94,4.93
Ligue 2 (France),2026-04-11,21:00,Boulogne,Le Mans,3.59,2.97,2.21
Ligue 2 (France),2026-04-11,21:00,Red Star,Bastia,2.21,3.08,3.45
Serie A (Italy),2026-04-11,22:00,Cagliari,Cremonese,2.24,3.21,3.89
Serie A (Italy),2026-04-11,22:00,Torino,Verona,2.0,3.4,4.55
Serie B (Italy),2026-04-11,22:00,Entella,Venezia,4.74,3.9,1.67
Serie B (Italy),2026-04-11,22:00,Juve Stabia,Cesena,2.15,3.24,3.41
Serie B (Italy),2026-04-11,22:00,Pescara,Sampdoria,2.2,3.18,3.35
Serie B (Italy),2026-04-11,22:00,Sudtirol,Modena,3.04,2.91,2.54
Bundesliga (Germany),2026-04-11,22:30,Dortmund,Bayer Leverkusen,2.05,4.0,3.61
Bundesliga (Germany),2026-04-11,22:30,Heidenheim,Union Berlin,3.09,3.66,2.39
Bundesliga (Germany),2026-04-11,22:30,RB Leipzig,B. Monchengladbach,1.51,5.03,6.4
Bundesliga (Germany),2026-04-11,22:30,Wolfsburg,Eintracht Frankfurt,2.65,3.76,2.68
Premier League (England),2026-04-11,23:00,Brentford,Everton,2.2,3.48,3.68
Premier League (England),2026-04-11,23:00,Burnley,Brighton,0.0,0.0,0.0
Championship (England),2026-04-11,23:00,Charlton,Preston,2.1,3.32,3.44
Championship (England),2026-04-11,23:00,Leicester,Swansea,2.09,3.5,3.3
Championship (England),2026-04-11,23:00,Middlesbrough,Portsmouth,1.53,4.25,5.62
Championship (England),2026-04-11,23:00,Oxford Utd,Watford,2.38,3.24,2.95
Championship (England),2026-04-11,23:00,Sheffield Utd,Hull,1.77,3.9,4.07
Championship (England),2026-04-11,23:00,Southampton,Derby,1.71,3.82,4.55
Championship (England),2026-04-11,23:00,Stoke,Blackburn,2.58,3.14,2.73
La Liga (Spain),2026-04-11,23:15,Elche,Valencia,2.6,3.38,2.99
La Liga 2 (Spain),2026-04-11,23:15,Burgos CF,Gijon,2.18,3.17,3.73
La Liga 2 (Spain),2026-04-11,23:15,Leganes,Albacete,2.24,3.19,3.54
Eredivisie (Netherlands),2026-04-11,23:30,Utrecht,Telstar,1.66,3.77,5.76
Serie B (Italy),2026-04-12,00:15,Avellino,Catanzaro,2.66,3.1,2.68
Serie A (Italy),2026-04-12,01:00,AC Milan,Udinese,1.51,4.85,6.83
Premier League (England),2026-04-12,01:30,Liverpool,Fulham,1.71,4.33,4.99
La Liga (Spain),2026-04-12,01:30,Barcelona,Espanyol,1.32,6.65,9.25
La Liga 2 (Spain),2026-04-12,01:30,Malaga,Las Palmas,2.41,3.23,3.15
Bundesliga (Germany),2026-04-12,01:30,St. Pauli,Bayern Munich,8.15,5.2,1.43
Eredivisie (Netherlands),2026-04-12,01:45,Sparta Rotterdam,PSV,4.05,4.42,1.76
Ligue 1 (France),2026-04-12,02:00,Auxerre,Nantes,2.02,3.46,4.32
Serie B (Italy),2026-04-12,02:30,Monza,Bari,1.34,4.9,8.5
Ligue 2 (France),2026-04-12,03:00,St Etienne,Dunkerque,1.62,4.1,4.88
Eredivisie (Netherlands),2026-04-12,03:00,Groningen,G.A. Eagles,1.86,3.96,3.95
2. Bundesliga (Germany),2026-04-12,03:30,Darmstadt,Hannover,2.67,3.62,2.38
Serie A (Italy),2026-04-12,03:45,Atalanta,Juventus,3.25,3.47,2.39
La Liga (Spain),2026-04-12,04:00,Sevilla,Atl. Madrid,2.59,3.24,3.12
La Liga 2 (Spain),2026-04-12,04:00,Cordoba,Zaragoza,1.91,3.77,3.98
Eredivisie (Netherlands),2026-04-12,04:00,Heracles,Ajax,5.4,4.43,1.59
Ligue 1 (France),2026-04-12,04:05,Rennes,Angers,1.41,5.13,8.8
Eredivisie (Netherlands),2026-04-12,19:15,Sittard,NAC Breda,2.67,3.54,2.6
Serie A (Italy),2026-04-12,19:30,Genoa,Sassuolo,2.24,3.46,3.58
Championship (England),2026-04-12,20:00,Birmingham,Wrexham,2.04,3.52,3.42
2. Bundesliga (Germany),2026-04-12,20:30,Bochum,Braunschweig,1.75,3.85,4.27
2. Bundesliga (Germany),2026-04-12,20:30,Elversberg,Schalke,2.02,3.52,3.48
2. Bundesliga (Germany),2026-04-12,20:30,Paderborn,Magdeburg,1.84,3.94,3.7
La Liga (Spain),2026-04-12,21:00,Osasuna,Betis,2.29,3.64,3.3
La Liga 2 (Spain),2026-04-12,21:00,Granada CF,Cultural Leonesa,1.9,3.52,4.32
Eredivisie (Netherlands),2026-04-12,21:30,Nijmegen,Feyenoord,2.22,3.87,3.0
Eredivisie (Netherlands),2026-04-12,21:30,Zwolle,Excelsior,2.16,3.85,3.13
Premier League (England),2026-04-12,22:00,Crystal Palace,Newcastle,3.19,3.66,2.34
Premier League (England),2026-04-12,22:00,Nottingham,Aston Villa,2.78,3.43,2.74
Premier League (England),2026-04-12,22:00,Sunderland,Tottenham,2.72,3.5,2.76
Serie A (Italy),2026-04-12,22:00,Parma,Napoli,6.18,4.03,1.65
Serie B (Italy),2026-04-12,22:00,Padova,Empoli,3.26,3.13,2.27
Bundesliga (Germany),2026-04-12,22:30,FC Koln,Werder Bremen,2.28,3.62,3.34
La Liga (Spain),2026-04-12,23:15,Mallorca,Rayo Vallecano,2.48,3.33,3.21
La Liga 2 (Spain),2026-04-12,23:15,Huesca,Dep. La Coruna,3.83,3.13,2.17
Eredivisie (Netherlands),2026-04-12,23:45,AZ Alkmaar,Heerenveen,1.69,4.33,4.58
Serie B (Italy),2026-04-13,00:15,Spezia,Mantova,2.32,3.0,3.31
Ligue 1 (France),2026-04-13,00:15,Nice,Le Havre,2.0,3.29,4.72
Ligue 1 (France),2026-04-13,00:15,Toulouse,Lille,3.29,3.33,2.43
Premier League (England),2026-04-13,00:30,Chelsea,Manchester City,3.19,3.96,2.23
Bundesliga (Germany),2026-04-13,00:30,Stuttgart,Hamburger SV,1.42,5.43,7.8
Serie A (Italy),2026-04-13,01:00,Bologna,Lecce,1.9,3.5,4.91
La Liga (Spain),2026-04-13,01:30,Celta Vigo,Oviedo,1.75,4.17,4.88
La Liga 2 (Spain),2026-04-13,01:30,Cadiz CF,Andorra,3.29,3.33,2.28
La Liga 2 (Spain),2026-04-13,01:30,Mirandes,Castellon,4.06,3.4,2.0
Bundesliga (Germany),2026-04-13,02:30,Mainz,Freiburg,2.39,3.17,3.56
Serie B (Italy),2026-04-13,02:30,Reggiana,Carrarese,3.23,2.99,2.36
Serie A (Italy),2026-04-13,03:45,Como,Inter,3.22,3.46,2.41
Ligue 1 (France),2026-04-13,03:45,Lyon,Lorient,1.74,4.06,5.17
La Liga (Spain),2026-04-13,04:00,Ath Bilbao,Villarreal,2.41,3.47,3.2
La Liga 2 (Spain),2026-04-13,04:00,Racing Santander,Almeria,2.38,3.56,2.94
La Liga 2 (Spain),2026-04-14,03:30,Valladolid,Eibar,2.43,3.22,3.14
Serie A (Italy),2026-04-14,03:45,Fiorentina,Lazio,2.4,3.11,3.6
Ligue 2 (France),2026-04-14,03:45,Rodez,Troyes,3.64,3.42,2.0
Premier League (England),2026-04-14,04:00,Manchester Utd,Leeds,1.68,4.32,5.33
La Liga (Spain),2026-04-14,04:00,Levante,Getafe,2.79,3.09,3.0
Serie B (Italy),2026-04-15,02:00,Catanzaro,Modena,2.86,3.28,2.42
Championship (England),2026-04-15,04:00,Portsmouth,Ipswich,3.86,3.45,1.9
Championship (England),2026-04-15,04:00,Southampton,Blackburn,1.67,3.8,4.68
Champions League (Europe),2026-04-15,04:00,Atl. Madrid,Barcelona,3.78,4.4,1.91
Champions League (Europe),2026-04-15,04:00,Liverpool,PSG,2.41,4.62,2.6
Champions League (Europe),2026-04-16,04:00,Arsenal,Sporting CP,1.42,5.08,8.6
Champions League (Europe),2026-04-16,04:00,Bayern Munich,Real Madrid,1.59,5.38,5.03
Europa League (Europe),2026-04-17,01:45,Celta Vigo,Freiburg,2.07,3.66,3.86
Europa League (Europe),2026-04-17,04:00,Aston Villa,Bologna,1.7,4.22,5.28
Europa League (Europe),2026-04-17,04:00,Betis,Braga,1.96,3.7,4.27
Europa League (Europe),2026-04-17,04:00,Nottingham,FC Porto,2.31,3.38,3.5
2. Bundesliga (Germany),2026-04-18,01:30,Elversberg,Karlsruher SC,1.45,4.4,5.22
2. Bundesliga (Germany),2026-04-18,01:30,Holstein Kiel,Kaiserslautern,2.02,3.6,3.06
Serie A (Italy),2026-04-18,01:30,Sassuolo,Como,4.86,4.2,1.75
Ligue 2 (France),2026-04-18,03:00,Le Mans,Clermont,0.0,0.0,0.0
Ligue 2 (France),2026-04-18,03:00,Montpellier,Grenoble,1.84,3.64,4.03
Ligue 2 (France),2026-04-18,03:00,Nancy,Annecy,2.57,3.24,2.67
Ligue 2 (France),2026-04-18,03:00,Pau FC,Guingamp,2.98,3.46,2.26
Ligue 2 (France),2026-04-18,03:00,Rodez,Amiens,0.0,0.0,0.0
La Liga 2 (Spain),2026-04-18,03:30,Real Sociedad B,Racing Santander,2.86,3.8,2.33
Bundesliga (Germany),2026-04-18,03:30,St. Pauli,FC Koln,2.44,3.38,3.23
Serie B (Italy),2026-04-18,03:30,Sampdoria,Monza,3.09,3.1,2.37
Serie A (Italy),2026-04-18,03:45,Inter,Cagliari,1.28,7.11,11.0
Ligue 1 (France),2026-04-18,03:45,Lens,Toulouse,1.66,4.32,5.54
Championship (England),2026-04-18,04:00,Blackburn,Coventry,0.0,0.0,0.0
La Liga 2 (Spain),2026-04-18,04:00,Las Palmas,Leganes,0.0,0.0,0.0
2. Bundesliga (Germany),2026-04-18,20:00,Arminia Bielefeld,Nurnberg,0.0,0.0,0.0
2. Bundesliga (Germany),2026-04-18,20:00,Magdeburg,Dusseldorf,0.0,0.0,0.0
2. Bundesliga (Germany),2026-04-18,20:00,SG Dynamo Dresden,Bochum,0.0,0.0,0.0
Premier League (England),2026-04-18,20:30,Brentford,Fulham,0.0,0.0,0.0
Championship (England),2026-04-18,20:30,Derby,Oxford Utd,0.0,0.0,0.0
Championship (England),2026-04-18,20:30,Millwall,QPR,0.0,0.0,0.0
Championship (England),2026-04-18,20:30,Portsmouth,Leicester,0.0,0.0,0.0
Ligue 2 (France),2026-04-18,21:00,Reims,Red Star,0.0,0.0,0.0
Ligue 2 (France),2026-04-18,21:00,Troyes,Boulogne,0.0,0.0,0.0
Serie A (Italy),2026-04-18,22:00,Udinese,Parma,0.0,0.0,0.0
Serie B (Italy),2026-04-18,22:00,Bari,Venezia,0.0,0.0,0.0
Serie B (Italy),2026-04-18,22:00,Mantova,Avellino,0.0,0.0,0.0
Serie B (Italy),2026-04-18,22:00,Modena,Frosinone,0.0,0.0,0.0
Serie B (Italy),2026-04-18,22:00,Spezia,Sudtirol,0.0,0.0,0.0
Bundesliga (Germany),2026-04-18,22:30,Bayer Leverkusen,Augsburg,0.0,0.0,0.0
Bundesliga (Germany),2026-04-18,22:30,Hoffenheim,Dortmund,0.0,0.0,0.0
Bundesliga (Germany),2026-04-18,22:30,Union Berlin,Wolfsburg,0.0,0.0,0.0
Bundesliga (Germany),2026-04-18,22:30,Werder Bremen,Hamburger SV,0.0,0.0,0.0
Premier League (England),2026-04-18,23:00,Leeds,Wolves,0.0,0.0,0.0
Premier League (England),2026-04-18,23:00,Newcastle,Bournemouth,0.0,0.0,0.0
Championship (England),2026-04-18,23:00,Bristol City,Norwich,0.0,0.0,0.0
La Liga 2 (Spain),2026-04-18,23:15,Zaragoza,Ceuta,0.0,0.0,0.0
Ligue 1 (France),2026-04-19,00:00,Lorient,Marseille,0.0,0.0,0.0
Serie B (Italy),2026-04-19,00:15,Palermo,Cesena,0.0,0.0,0.0
Serie A (Italy),2026-04-19,01:00,Napoli,Lazio,0.0,0.0,0.0
Premier League (England),2026-04-19,01:30,Tottenham,Brighton,0.0,0.0,0.0
La Liga 2 (Spain),2026-04-19,01:30,Castellon,Burgos CF,0.0,0.0,0.0
La Liga 2 (Spain),2026-04-19,01:30,Cultural Leonesa,Cordoba,0.0,0.0,0.0
Bundesliga (Germany),2026-04-19,01:30,Eintracht Frankfurt,RB Leipzig,0.0,0.0,0.0
Ligue 1 (France),2026-04-19,02:00,Angers,Le Havre,0.0,0.0,0.0
Ligue 2 (France),2026-04-19,03:00,Bastia,St Etienne,0.0,0.0,0.0
2. Bundesliga (Germany),2026-04-19,03:30,Hannover,Paderborn,0.0,0.0,0.0
Serie A (Italy),2026-04-19,03:45,AS Roma,Atalanta,0.0,0.0,0.0
Premier League (England),2026-04-19,04:00,Chelsea,Manchester Utd,0.0,0.0,0.0
Ligue 1 (France),2026-04-19,04:05,Lille,Nice,0.0,0.0,0.0
Serie A (Italy),2026-04-19,19:30,Cremonese,Torino,0.0,0.0,0.0
2. Bundesliga (Germany),2026-04-19,20:30,Braunschweig,Hertha Berlin,0.0,0.0,0.0
La Liga 2 (Spain),2026-04-19,21:00,Andorra,Valladolid,0.0,0.0,0.0
Serie A (Italy),2026-04-19,22:00,Verona,AC Milan,0.0,0.0,0.0
Ligue 1 (France),2026-04-19,22:00,Monaco,Auxerre,0.0,0.0,0.0
Ligue 1 (France),2026-04-20,00:15,Metz,Paris FC,0.0,0.0,0.0
Ligue 2 (France),2026-04-21,03:45,Dunkerque,Laval,0.0,0.0,0.0
La Liga (Spain),2026-04-22,02:00,Ath Bilbao,Osasuna,0.0,0.0,0.0
La Liga (Spain),2026-04-22,02:00,Mallorca,Valencia,0.0,0.0,0.0
La Liga (Spain),2026-04-22,04:30,Girona,Betis,0.0,0.0,0.0
La Liga (Spain),2026-04-22,04:30,Real Madrid,Alaves,0.0,0.0,0.0
La Liga (Spain),2026-04-23,02:00,Elche,Atl. Madrid,0.0,0.0,0.0
Eredivisie (Netherlands),2026-04-23,03:00,Telstar,Sparta Rotterdam,0.0,0.0,0.0
Eredivisie (Netherlands),2026-04-24,01:45,G.A. Eagles,AZ Alkmaar,0.0,0.0,0.0
Eredivisie (Netherlands),2026-04-24,04:00,PSV,Zwolle,0.0,0.0,0.0
Eredivisie (Netherlands),2026-04-25,23:30,Feyenoord,Groningen,0.0,0.0,0.0
Eredivisie (Netherlands),2026-04-26,01:45,Heerenveen,Sittard,0.0,0.0,0.0
